Image_A,Image_B,FKD_Score
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,149.42052974061568
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,151.5105106983582
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,154.6816611657827
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,Nosy_boraha_south,156.6259488723432
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,156.85281342539628
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,163.62061549949004
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,165.0305478351804
IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,168.1763049994558
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,168.76120218763327
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,170.74215251331373
